Petroleum Experts,Move v1.1
Vertex Data,Vertex Data,Vertex Data,Orientation Data,Orientation Data,Orientation Data,Container
Real,Real,Real,Real,Real,Real,Text
X(East),Y(North),Z,dip,azimuth,strike,Object Name
#FF0000,#00FF00,#0000FF,#FFFFFF,#FFFFFF,#FFFFFF,#3F3B1F
metre,metre,metre,degree,degree,degree,
xy,xy,elevation,orientation,orientation,orientation,
1624439.578316,5296421.834080,-20517.776251,52.518959,327.106781,237.106781,Hundalee
1625059.077060,5296737.345809,-20283.180868,58.277107,309.411652,219.411652,Hundalee
1625489.875061,5296729.301928,-19765.939269,55.783768,310.044281,220.044281,Hundalee
1626077.026804,5297447.933361,-19682.889106,55.136326,302.215179,212.215179,Hundalee
1625865.033232,5297795.886797,-20203.704234,54.873459,302.099213,212.099213,Hundalee
1625245.817363,5297332.655765,-20589.138964,54.283909,303.134125,213.134125,Hundalee
1624795.596014,5297366.395015,-21144.546758,54.738926,303.128052,213.128052,Hundalee
1624208.214838,5296791.066430,-21144.216755,57.845573,327.165497,237.165497,Hundalee
1624744.896190,5297836.891333,-21572.547745,55.031746,303.463165,213.463165,Hundalee
1625140.171957,5298504.658167,-21617.029647,54.968876,302.384613,212.384613,Hundalee
1624899.313689,5298907.628084,-22216.522553,55.155262,302.426361,212.426361,Hundalee
1625191.440467,5299509.939976,-22339.844238,55.769962,303.828033,213.828033,Hundalee
1625669.787975,5299799.447317,-22010.621408,54.380604,305.250305,215.250305,Hundalee
1625955.581873,5300334.788368,-22152.079556,55.462730,309.789612,219.789612,Hundalee
1625647.847217,5300672.639406,-22802.628213,54.977104,309.702484,219.702484,Hundalee
1625177.562793,5300415.437107,-23099.668224,55.683411,307.470734,217.470734,Hundalee
1625006.949941,5299788.078727,-22778.342397,54.198788,303.539856,213.539856,Hundalee
1624509.874128,5299285.398137,-22976.302408,54.888294,302.792389,212.792389,Hundalee
1624447.688413,5298696.156921,-22597.267398,54.844635,302.757263,212.757263,Hundalee
1624168.730982,5299449.929088,-23516.135290,55.271011,302.733307,212.733307,Hundalee
1624269.854734,5300031.312586,-23844.080682,54.975185,302.285706,212.285706,Hundalee
1624781.610731,5300494.140015,-23625.573627,55.245052,307.700714,217.700714,Hundalee
1624707.796486,5300852.794679,-24021.224492,54.730442,307.373291,217.373291,Hundalee
1624317.128072,5300668.170008,-24305.276772,55.402214,306.906097,216.906097,Hundalee
1624115.594454,5300401.508387,-24311.476272,54.886333,302.258301,212.258301,Hundalee
1624006.953708,5300237.287840,-24317.479859,54.886333,302.258301,212.258301,Hundalee
1623907.618697,5299992.967686,-24251.492811,54.886333,302.258301,212.258301,Hundalee
1623607.196550,5299709.386059,-24395.435202,54.470821,302.692535,212.692535,Hundalee
